"names","node","preds_indRev","preds_outRev","preds_inRev","preds_subRev"
"wgqdt",308,NA,NA,NA,NA
"envvu",309,1019.99085204745,2133.86807651177,2332.49639663516,8994.65269663258
"bwmbr",310,NA,NA,NA,NA
"yhbrc",311,NA,NA,NA,NA
"dqxxz",312,NA,NA,NA,NA
"jpjvs",313,687.734392469874,765.339836102698,820.059642516621,2459.30530513187
"tdyle",314,413.639967573105,371.061973061629,353.469194457101,1052.5775701207
"iahuc",315,565.863290834835,1078.69149376241,1376.36403699604,2047.06152602184
"zsgpn",316,NA,NA,NA,NA
"cgukr",317,545.199318272914,1002.58645040368,1259.5474076448,1919.37331047848
"coexm",318,409.202224039129,556.603174746788,614.940097948709,1159.25885418263
"amrat",319,NA,NA,NA,NA
"jtwyc",320,NA,NA,NA,NA
"qqcyz",321,NA,NA,NA,NA
"sykwx",322,NA,NA,NA,NA
"mwtml",323,292.956406436419,359.470808493234,367.279509335457,577.342591735643
"hzoke",324,NA,NA,NA,NA
"fpgez",325,NA,NA,NA,NA
"bdxpz",326,443.910645826039,594.048292202506,658.642476548659,1349.23776556035
"xknhm",327,NA,NA,NA,NA
"dmrwz",328,NA,NA,NA,NA
"lopew",329,NA,NA,NA,NA
"fqeud",330,1326.95014462055,968.739384449396,686.275132961287,3807.31617707217
"msblr",331,NA,NA,NA,NA
"zgpji",332,551.875951820628,923.698819535428,1129.46758484066,2020.38409187699
"dllnj",333,473.339739735944,488.826284529306,496.023027655563,1376.72679772244
"chklt",334,291.030459072651,241.00879859632,216.901411213783,595.091989722352
"ueaka",335,481.076752835387,665.896395091767,673.97321201033,2532.5926416147
"cuzcv",336,NA,NA,NA,NA
"dlsfe",337,NA,NA,NA,NA
"lpkho",338,NA,NA,NA,NA
"bzwza",339,687.687886108546,1968.7662181898,2466.1265109941,8645.08776567917
"ncjra",340,NA,NA,NA,NA
"qzbrm",341,379.996122045152,284.457079324568,251.308970561976,845.184530755983
"scvtk",342,NA,NA,NA,NA
"hvtow",343,NA,NA,NA,NA
"nbnsv",344,NA,NA,NA,NA
"yrgta",345,355.90198126345,366.395226144168,362.961564747824,881.08074752012
"arpae",346,264.25881332382,202.482470298608,175.717108113569,496.988762872236
"aixaa",347,752.749256052082,923.630983288856,868.75360623906,8386.82437476398
"vhavq",348,NA,NA,NA,NA
"udbri",349,607.07346333339,480.91998444221,470.422709220128,1020.56671433223
"xhbzy",350,473.911114859386,599.201714451674,655.323110034342,1492.39456154821
"osdci",351,409.970217199532,532.398886598511,579.507109870377,1166.46408101808
